timestamp,ts_date,type_incident,sous_type,criticite,resume,action_recommandee,equipe_assignee,message_brut,source,,,,
15/10/2024 18:18:00,15/10/2024,Erreur API,Payload trop volumineux,Faible,Certaines requêtes dépassent la taille maximale autorisée.,Documenter la limite et proposer une pagination adaptée.,Équipe technique,"Erreurs ""payload_too_large"" observées sur /v1/export.",Monitoring,,,,"45580,7625"
21/10/2024 07:59:00,21/10/2024,Connexion / authentification,Captcha défaillant,Faible,Le captcha ne s'affiche plus sur la page de login.,Désactiver temporairement le captcha et réparer l'intégration.,Équipe technique,Les utilisateurs ne voient plus le captcha et ne peuvent pas valider le formulaire.,Email,,,,"45586,33264"
28/10/2024 16:33:00,28/10/2024,Suspicion de fraude,Device inconnu,Moyenne,Connexion depuis un nouvel appareil sur un compte sensible.,Demander une vérification supplémentaire avant d'autoriser les opérations.,Équipe fraude,Alerte générée pour un appareil non reconnu sur un gros compte.,Monitoring,,,,"45593,68958"
04/11/2024 11:22:00,04/11/2024,Problème de paiement,Paiement en double tentative,Faible,Les utilisateurs cliquent deux fois sur le bouton payer.,Améliorer le design du bouton et bloquer les doubles clics.,Équipe produit,Support signale des tentatives multiples sur une même commande.,Slack,,,,"45600,47361"
12/11/2024 13:47:00,12/11/2024,Incident technique,Erreur de configuration,Moyenne,Un paramètre de configuration erroné en production.,Corriger la configuration et ajouter un contrôle en CI.,Équipe technique,"Après un changement de config, certains services ne démarrent plus.",Monitoring,,,,"45608,57431"
19/11/2024 19:05:00,19/11/2024,Erreur API,Dépendance tierce en panne,Élevée,Un fournisseur externe critique ne répond plus.,Basculer sur un fournisseur de secours si possible et communiquer aux clients.,Équipe technique,Les appels vers le prestataire KYC échouent systématiquement.,Monitoring,,,,"45615,79514"
26/11/2024 08:30:00,26/11/2024,Connexion / authentification,Email de confirmation non reçu,Faible,Les emails de confirmation de création de compte arrivent avec retard.,Vérifier la file d'envoi et le fournisseur SMTP.,Équipe support,Plusieurs nouveaux clients attendent leur mail d'activation.,Email,,,,"45622,35417"
03/12/2024 10:51:00,03/12/2024,Suspicion de fraude,VPN détecté,Faible,Connexion à haut risque via VPN sur plusieurs comptes.,Surveiller les opérations et augmenter le scoring de risque.,Équipe fraude,"Le moteur fraude marque certaines sessions comme ""VPN suspect"".",Monitoring,,,,"45629,45208"
11/12/2024 17:39:00,11/12/2024,Problème de paiement,Expiration de carte,Moyenne,De nombreux paiements échouent pour cartes arrivées à expiration.,Lancer une campagne proactive de mise à jour de carte.,Équipe marketing,"Hausse d'échecs de paiement avec motif ""card_expired"".",Monitoring,,,,"45637,73542"
18/12/2024 09:16:00,18/12/2024,Incident technique,Processus zombie,Moyenne,Des processus restent bloqués et consomment de la mémoire.,Nettoyer les processus et investiguer les causes.,Équipe technique,Les métriques système montrent une saturation mémoire ponctuelle.,Monitoring,,,,"45644,38611"
06/01/2025 11:03:00,06/01/2025,Erreur API,Mauvais mapping de champ,Moyenne,Un champ de réponse ne correspond plus à la documentation.,Corriger le mapping et communiquer aux intégrateurs.,Équipe technique,Un partenaire signale une rupture de contrat d'API sur un champ JSON.,Email,,,,"45663,46042"
14/01/2025 15:32:00,14/01/2025,Connexion / authentification,Jeton expiré,Faible,Les jetons d'accès expirent plus tôt que prévu.,Allonger la durée ou activer le rafraîchissement automatique.,Équipe technique,Les applications mobiles doivent se reconnecter trop souvent.,Monitoring,,,,"45671,64722"
22/01/2025 08:27:00,22/01/2025,Suspicion de fraude,Montants arrondis suspects,Moyenne,Série d'opérations avec des montants parfaitement arrondis.,Analyser le marchand et la typologie des transactions.,Équipe fraude,Le moteur de règles déclenche des alertes sur des montants atypiques.,Monitoring,,,,"45679,35208"
03/02/2025 09:44:00,03/02/2025,Problème de paiement,Erreur de référence,Faible,Des paiements ne sont pas associés à la bonne commande.,Corriger la génération d'identifiants de transaction.,Équipe produit,Support signale des écarts entre références de commande et de paiement.,Email,,,,"45691,40556"
11/02/2025 18:12:00,11/02/2025,Incident technique,Job de nettoyage inactif,Moyenne,Les anciens logs ne sont plus purgés automatiquement.,Relancer le job de nettoyage et vérifier la planification.,Équipe technique,La taille des logs disques augmente beaucoup plus vite que prévu.,Monitoring,,,,"45699,75833"
05/10/2023 12:00:00,Incident technique,Problème de base de données,élevée,Défaillance de l'infrastructure de base de données provoquant des perturbations opérationnelles.,L'équipe technique doit enquêter et résoudre le problème rapidement.,Technique,"Objet : Incident technique - Problème de base de données
Corps : Une erreur de connexion à la base de données a été détectée, entraînant des retards et des échecs dans le traitement des transactions. Sévérité : élevée. Résumé : Défaillance de l'infrastructure de base de données provoquant des perturbations opérationnelles. Action recommandée : l'équipe technique doit enquêter et résoudre le problème rapidement. Équipe assignée : Technique.",email,,,,,
05/10/2023 00:00:00,Erreur API,Mauvais format de données,Moyenne,Erreur dans l'API de paiement lors d'une transaction d'un client due à un format de données incorrect.,Vérifier la documentation de l'API et mettre à jour le code client.,Technique,"Nous avons détecté une erreur dans l'API de paiement lors d'une transaction d'un client. Les données transmises ne sont pas dans le format attendu, ce qui provoque un échec de la transaction. Cet incident a un impact moyen sur nos services.

L'équipe Technique est en charge de résoudre ce problème. Nous recommandons de vérifier la documentation de l'API et de mettre à jour le code client pour envoyer les données dans le bon format.

Équipe assignée : Technique",Email,,,,,
03/10/2023 09:48:00,problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
09h48 UTC,paiements refusés,authentification 2FA,élevée,Tous les paiements nécessitant une authentification 2FA échouent avec l'erreur '2FA_REQUIRED_INVALID'.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
"45202,40833",problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,"Bonjour,

Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”.

Impact : transactions impossibles pour environ 30 % des clients.

Merci d’analyser le problème rapidement.

Bien à vous,
Support Opérations",email,,,,,
"45202,40833",problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
09h48 UTC,paiements refusés,authentification 2FA,élevée,Tous les paiements nécessitant une authentification 2FA échouent avec l'erreur '2FA_REQUIRED_INVALID'.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
"45202,40833",problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
"45202,40833",problème de paiement,échec d'authentification 2FA,élevée,De nombreuses plaintes concernant des paiements refusés dus à une erreur 2FA.,Analyser le problème rapidement.,Support Opérations,Nous recevons de nombreuses plaintes concernant des paiements refusés depuis 09h48 UTC. Tous les paiements nécessitant une authentification 2FA échouent : l’API renvoie systématiquement “2FA_REQUIRED_INVALID”. Impact : transactions impossibles pour environ 30 % des clients. Merci d’analyser le problème rapidement.,email,,,,,
